,x,y,z
0,145.999491999,158.013716027,51
1,332.004064008,50.0127000254,60
2,180.01016002,27.9908559817,61
3,173.990347981,151.993903988,61
4,304.013208026,51.9939039878,51
5,181.330962662,224.003048006,54
6,341.325882652,74.6761493523,54
7,429.337058674,153.34010668,53
8,281.330962662,19.9898399797,59
9,288.011176022,41.3258826518,84
10,491.998983998,274.676149352,82
11,438.658877318,100.0,91
12,459.99491999,186.66497333,93
13,419.98983998,72.0091440183,87
14,488.011176022,305.334010668,58
15,300.0,88.0111760224,63
16,221.336042672,49.3268986538,28
17,275.996951994,13.3350266701,36
18,388.011176022,42.6720853442,47
19,496.012192024,202.667005334,46
20,454.660909322,211.988823978,4
21,66.6751333503,130.657861316,43
22,462.661925324,161.341122682,44
23,482.677165354,273.32994666,12
24,442.672085344,365.328930658,2
25,175.996951994,383.997967996,1
26,197.332994666,382.677165354,3
27,478.663957328,377.343154686,1
28,135.991871984,56.0071120142,27
29,497.332994666,197.332994666,35
30,213.33502667,196.012192024,46
31,498.679197358,264.008128016,32
32,77.3431546863,189.331978664,33
33,422.656845314,413.33502667,71
34,91.998983998,486.66497333,74
35,78.6639573279,490.678181356,74
36,105.334010668,486.66497333,74
37,405.334010668,486.66497333,66
38,493.34518669,341.325882652,11
39,343.992887986,132.004064008,35
40,488.011176022,32.0040640081,34
