,z,y,x
0,61,345.999491999,250.012700025
1,51,91.998983998,108.001016002
2,52,270.662941326,229.337058674
3,54,304.013208026,51.9939039878
4,68,157.327914656,21.3360426721
5,80,388.011176022,40.0050800102
6,87,105.334010668,40.0050800102
7,84,353.34010668,25.3238506477
8,85,324.003048006,29.3370586741
9,81,154.660909322,127.990855982
10,80,51.9939039878,51.9939039878
11,58,400.0,106.68021336
12,54,102.667005334,404.013208026
13,54,105.334010668,412.014224028
14,57,262.661925324,250.673101346
15,60,83.9979679959,282.677165354
16,65,440.00508001,319.98983998
17,70,358.674117348,154.660909322
18,73,358.674117348,294.665989332
19,73,472.009144018,446.65989332
20,73,109.321818644,122.656845314
21,74,494.665989332,108.001016002
22,93,322.656845314,178.663957328
23,98,489.331978664,209.347218694
24,9,288.011176022,64.0081280163
25,12,397.332994666,49.3268986538
26,10,337.338074676,127.990855982
27,12,164.008128016,178.663957328
28,14,129.337058674,157.327914656
29,11,142.672085344,149.326898654
30,12,332.004064008,421.336042672
31,13,408.001016002,145.339090678
32,14,469.342138684,165.328930658
33,13,437.338074676,1.34620269241
34,36,397.332994666,50.6731013462
35,37,385.344170688,181.330962662
36,38,488.011176022,158.674117348
37,37,354.660909322,98.6791973584
38,48,493.34518669,230.657861316
39,48,458.674117348,135.991871984
40,46,169.342138684,201.346202692
41,46,122.656845314,190.678181356
42,47,110.668021336,206.68021336
43,46,133.32486665,38.6588773178
44,47,64.0081280163,54.6609093218
45,6,413.33502667,308.001016002
46,6,457.327914656,440.00508001
47,20,457.327914656,327.990855982
48,19,272.009144018,226.67005334
49,19,238.658877318,96.0121920244
50,26,234.671069342,97.332994666
51,32,494.665989332,2.66700533401
52,26,269.342138684,226.67005334
53,19,314.655829312,9.32181864364
54,17,359.99491999,19.9898399797
55,23,405.334010668,126.67005334
56,23,430.657861316,154.660909322
57,23,432.004064008,73.3299466599
58,28,169.342138684,57.3279146558
59,49,49.3268986538,43.9928879858
60,18,72.0091440183,188.011176022
61,20,157.327914656,173.32994666
62,35,238.658877318,222.656845314
63,44,273.32994666,224.003048006
64,44,377.343154686,232.004064008
65,41,326.67005334,275.996951994
66,22,410.668021336,213.33502667
67,28,413.33502667,153.34010668

