,z,y,x
0,0,89.9923799848,237.998475997
1,0,126.009652019,243.002286005
2,0,124.003048006,246.99009398
3,0,275.006350013,202.997205994
4,0,292.989585979,200.990601981
5,0,302.006604013,200.990601981
6,4,76.9875539751,245.999491999
7,4,86.9951739903,245.999491999
8,4,267.995935992,283.007366015
9,3,310.998221996,223.012446025
10,8,94.9961899924,261.010922022
11,6,78.0035560071,246.99009398
12,6,88.0111760224,245.999491999
13,12,289.992379985,226.009652019
14,9,286.004572009,210.998221996
15,20,277.012954026,224.993649987
16,25,145.999491999,262.001524003
17,11,78.0035560071,154.000508001
18,13,183.007366015,330.988061976
19,30,115.011430023,167.005334011
20,30,223.012446025,184.988569977
21,31,254.991109982,251.993903988
22,39,305.994411989,234.010668021
23,42,165.989331979,278.994157988
24,40,234.010668021,281.991363983
25,35,126.009652019,264.998729997
26,43,237.998475997,243.002286005
27,45,270.002540005,169.011938024
28,46,243.002286005,240.995681991
29,44,235.991871984,242.011684023
30,45,256.007112014,251.003302007
31,51,208.001016002,262.992125984
32,55,256.007112014,267.005334011
33,59,254.000508001,240.995681991
34,61,264.998729997,240.00508001
35,62,175.006350013,269.011938024
36,63,202.006604013,267.005334011
37,74,229.006858014,199.009398019
38,81,200.990601981,283.997967996
39,82,210.007620015,281.000762002
40,99,217.678435357,245.999491999
41,99,159.99491999,291.338582677
42,95,218.669037338,173.32994666
43,76,244.678689357,248.006096012
44,83,270.662941326,265.328930658
45,65,235.331470663,256.337312675
46,54,240.513081026,225.501651003
47,19,255.499110998,229.997459995
48,8,240.00508001,208.991617983
49,63,261.493522987,221.005842012
50,64,243.002286005,246.507493015
51,70,267.005334011,153.492506985
52,69,216.662433325,226.33985268
53,72,204.673609347,242.672085344
54,72,219.329438659,236.322072644
55,59,154.991109982,267.995935992
56,78,162.001524003,270.002540005
57,29,263.322326645,219.659639319
58,34,273.66014732,211.658623317
59,46,261.010922022,180.670561341
60,35,200.33020066,256.997713995
61,35,207.340614681,259.004318009
62,38,199.339598679,261.341122682
63,40,172.669545339,263.677927356
64,40,145.999491999,203.987807976
65,9,89.9923799848,265.659131318
66,17,115.671831344,264.008128016
67,25,166.67513335,242.341884684
68,27,164.668529337,273.990347981
69,0,78.6639573279,245.669291339
70,0,120.675641351,205.334010668
71,0,130.327660655,286.004572009
72,12,112.344424689,275.006350013
73,15,102.997205994,271.323342647
74,17,140.665481331,299.009398019
75,0,272.669545339,229.667259335
76,0,248.996697993,219.659639319
77,6,256.007112014,256.007112014
78,0,177.012954026,337.007874016
79,0,178.003556007,334.010668021
80,0,186.004572009,327.330454661
81,0,170.662941326,325.679451359
82,14,145.008890018,241.325882652
83,0,252.679705359,189.662179324
84,7,264.998729997,241.325882652
85,32,235.001270003,277.343154686
