,z,y,x
0,1,309.321818644,316.662433325
1,10,297.002794006,227.330454661
2,9,290.500381001,295.504191008
3,9,293.497586995,408.991617983
4,20,331.496062992,308.001016002
5,17,340.995681991,320.497840996
6,18,216.51003302,289.50977902
7,31,297.510795022,250.012700025
8,33,300.508001016,284.505969012
9,34,262.001524003,237.998475997
10,41,238.506477013,283.007366015
11,29,217.500635001,288.493776988
12,56,261.493522987,296.49479299
13,61,267.005334011,300.0
14,62,288.011176022,267.005334011
15,60,257.505715011,345.999491999
16,47,248.996697993,288.011176022
17,51,251.993903988,281.000762002
18,74,276.50495301,265.506731013
19,83,266.497332995,278.511557023
20,83,276.50495301,335.001270003
21,72,262.001524003,300.508001016
22,70,281.000762002,286.512573025
23,48,238.989077978,286.99517399
24,26,222.504445009,294.488188976
25,35,251.993903988,318.491236982
26,35,251.511303023,353.492506985
27,32,257.988315977,283.48996698
28,18,291.490982982,304.013208026
29,17,289.992379985,294.005588011
30,14,275.006350013,308.991617983
31,14,258.496316993,326.009652019
32,6,213.995427991,280.492760986
33,3,256.489712979,218.999237998
34,7,298.501397003,233.502667005
35,69,273.507747015,293.497586995
36,94,263.500127,264.008128016
37,89,275.488950978,263.500127
38,35,240.513081026,280.01016002
39,23,265.506731013,226.009652019
40,30,287.503175006,297.002794006
41,74,253.00990602,278.511557023
42,69,251.003302007,254.508509017
43,23,298.501397003,297.993395987
