,z,y,x
0,0,270.993141986,264.998729997
1,1,278.003556007,321.005842012
2,3,170.002540005,256.997713995
3,0,219.98983998,299.009398019
4,13,315.011430023,329.006858014
5,12,302.006604013,337.007874016
6,15,294.996189992,389.992379985
7,8,243.002286005,289.001778004
8,16,318.008636017,332.994665989
9,15,294.005588011,323.012446025
10,23,357.988315977,356.997713995
11,24,362.992125984,350.012700025
12,28,311.988823978,313.995427991
13,28,310.998221996,332.994665989
14,28,259.004318009,329.997459995
15,34,216.992633985,305.994411989
16,35,250.012700025,318.008636017
17,35,262.992125984,329.006858014
18,35,148.006096012,365.989331979
19,37,229.997459995,281.991363983
20,37,329.006858014,340.00508001
21,40,207.010414021,318.008636017
22,40,203.987807976,297.002794006
23,40,145.008890018,345.008890018
24,43,359.004318009,348.996697993
25,44,313.995427991,359.004318009
26,43,273.990347981,213.00482601
27,51,256.997713995,221.005842012
28,54,197.993395987,318.008636017
29,51,353.00990602,356.997713995
30,60,223.012446025,308.991617983
31,60,207.010414021,292.989585979
32,60,177.012954026,270.002540005
33,71,118.008636017,238.989077978
34,70,200.990601981,348.996697993
35,69,330.988061976,248.996697993
36,70,326.009652019,369.011938024
37,70,365.989331979,335.991871984
38,69,397.993395987,351.003302007
39,74,354.991109982,353.00990602
40,75,354.000508001,343.002286005
41,78,199.009398019,264.998729997
42,78,203.987807976,367.005334011
43,78,196.012192024,305.994411989
44,85,167.005334011,292.989585979
45,87,224.003048006,232.004064008
46,88,202.006604013,313.00482601
47,90,148.006096012,257.988315977
48,94,359.99491999,280.01016002
49,94,353.00990602,253.00990602
50,99,467.005334011,340.995681991
51,99,296.012192024,216.992633985
52,99,311.988823978,243.002286005
53,99,250.012700025,240.995681991
