,x,y,z
0,70.0025400051,362.001524003,54
1,191.998983998,13.9954279909,61
2,102.006604013,196.012192024,53
3,35.9918719837,256.007112014,52
4,26.0096520193,170.002540005,50
5,251.993903988,32.0040640081,51
6,300.0,58.0137160274,52
7,332.004064008,97.9933959868,53
8,100.0,272.009144018,53
9,337.998475997,218.008636017,54
10,314.655829312,54.6609093218,67
11,27.9908559817,264.008128016,72
12,67.9959359919,272.009144018,72
13,27.9908559817,321.336042672,74
14,96.0121920244,170.662941326,83
15,86.6649733299,205.334010668,83
16,17.3228346457,183.997967996,85
17,13.3350266701,175.996951994,82
18,38.6588773178,8.00101600203,77
19,61.3411226822,225.323850648,84
20,86.6649733299,308.001016002,88
21,194.665989332,248.006096012,89
22,72.0091440183,121.336042672,92
23,122.656845314,146.65989332,90
24,66.6751333503,0.0,95
25,389.331978664,33.3248666497,80
26,275.996951994,30.6578613157,87
27,206.68021336,275.996951994,90
28,180.01016002,308.001016002,65
29,140.00508001,141.325882652,63
30,382.677165354,125.323850648,58
31,374.676149352,122.656845314,58
32,204.013208026,106.68021336,14
33,46.6598933198,140.00508001,16
34,66.6751333503,159.99491999,19
35,373.32994666,97.332994666,24
36,133.32486665,51.9939039878,12
37,149.326898654,14.6558293117,38
38,119.98983998,118.669037338,37
39,196.012192024,166.67513335,47
40,142.672085344,170.662941326,47
41,375.996951994,29.3370586741,48
42,149.326898654,57.3279146558,21
43,281.330962662,81.3309626619,22
44,282.677165354,104.013208026,29
45,125.323850648,88.0111760224,31
46,142.672085344,61.3411226822,34
47,232.004064008,364.008128016,4
48,62.6619253239,327.990855982,13
49,327.990855982,146.65989332,47
50,72.0091440183,414.655829312,86
51,167.995935992,404.013208026,76
52,127.990855982,402.667005334,23
53,89.331978664,280.01016002,10
54,364.008128016,281.330962662,10
55,54.6609093218,383.997967996,31
