 ,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0.000,63165,63165,63165,13.716,6.872,5,0,204
2,0.000,64154,64154,64154,10.865,6.388,9,0,204
3,0.000,63793,63793,63793,11.562,8.294,16,0,204
4,0.000,63266,63266,63266,11.010,7.257,18,0,204
5,0.000,63724,63724,63724,10.446,6.273,22,0,204
6,0.000,63413,63413,63413,13.517,8.543,4,0,204
7,0.000,63688,63688,63688,15.459,7.822,4,0,204
8,0.000,64124,64124,64124,11.522,8.845,8,0,204
9,0.000,53740,53740,53740,11.785,7.047,13,0,204
10,0.000,64418,64418,64418,8.622,10.039,11,0,204
11,0.000,64679,64679,64679,9.160,10.144,11,0,204
12,0.000,63398,63398,63398,9.948,10.512,23,0,204
13,0.000,64085,64085,64085,10.801,6.706,23,0,204
14,0.000,63314,63314,63314,10.879,7.139,30,0,204
15,0.000,64020,64020,64020,10.971,8.150,39,0,204
16,0.000,58643,58643,58643,10.709,7.507,36,0,204
17,0.000,64580,64580,64580,11.430,8.281,37,0,204
18,0.000,63668,63668,63668,11.391,8.517,45,0,204
19,0.000,52510,52510,52510,11.339,7.467,51,0,204
20,0.000,64106,64106,64106,9.541,9.751,53,0,204
21,0.000,65068,65068,65068,9.108,9.764,54,0,204
22,0.000,54134,54134,54134,13.543,7.021,7,0,204
23,0.000,42942,42942,42942,14.042,6.339,9,0,204
24,0.000,60306,60306,60306,12.874,8.976,7,0,204
25,0.000,48235,48235,48235,13.688,10.446,5,0,204
26,0.000,57032,57032,57032,9.396,10.472,16,0,204
27,0.000,49643,49643,49643,11.010,6.798,19,0,204
28,0.000,39111,39111,39111,10.236,5.591,38,0,204
29,0.000,63674,63674,63674,9.016,10.197,20,0,204
30,0.000,49959,49959,49959,8.642,10.079,21,0,204
31,0.000,40247,40247,40247,8.602,9.449,16,0,204
32,0.000,26220,26220,26220,13.819,7.441,19,0,204
33,0.000,32670,32670,32670,11.752,6.417,10,0,204
34,0.000,25636,25636,25636,14.331,7.323,6,0,204
35,0.000,63440,63440,63440,11.811,9.685,35,0,204
36,0.000,63007,63007,63007,9.547,2.894,33,0,204
37,0.000,61949,61949,61949,5.512,4.980,40,0,204
38,0.000,43067,43067,43067,14.350,9.469,39,0,204
