 ,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0.000,64521,64521,64521,9.370,3.543,1,0,86
2,0.000,64264,64264,64264,9.567,4.961,1,0,86
3,0.000,64106,64106,64106,9.724,4.882,1,0,86
4,0.000,65261,65261,65261,7.992,10.827,1,0,86
5,0.000,46937,46937,46937,7.913,11.535,1,0,86
6,0.000,42191,42191,42191,7.913,11.890,1,0,86
7,0.000,64573,64573,64573,9.685,3.031,5,0,86
8,0.000,65535,65535,65535,9.685,3.425,5,0,86
9,0.000,64480,64480,64480,11.142,10.551,5,0,86
10,0.000,49707,49707,49707,8.780,12.244,4,0,86
11,0.000,65209,65209,65209,10.276,3.740,9,0,86
12,0.000,65535,65535,65535,9.724,3.071,7,0,86
13,0.000,64667,64667,64667,9.685,3.465,7,0,86
14,0.000,65164,65164,65164,8.898,11.417,13,0,86
15,0.000,64845,64845,64845,8.307,11.260,10,0,86
16,0.000,64584,64584,64584,8.858,10.906,21,0,86
17,0.000,63835,63835,63835,10.315,5.748,26,0,86
18,0.000,29726,29726,29726,6.063,3.071,12,0,86
19,0.000,40909,40909,40909,13.031,7.205,14,0,86
20,0.000,38982,38982,38982,6.575,4.528,31,0,86
21,0.000,40092,40092,40092,7.283,8.780,31,0,86
22,0.000,64914,64914,64914,9.921,10.039,32,0,86
23,0.000,64230,64230,64230,9.213,12.047,40,0,86
24,0.000,65535,65535,65535,10.984,6.535,43,0,86
25,0.000,65423,65423,65423,11.102,9.213,41,0,86
26,0.000,64886,64886,64886,10.433,4.961,36,0,86
27,0.000,64065,64065,64065,9.567,9.370,44,0,86
28,0.000,38407,38407,38407,6.654,10.630,46,0,86
29,0.000,41212,41212,41212,9.488,9.567,47,0,86
30,0.000,65535,65535,65535,9.528,9.291,45,0,86
31,0.000,64494,64494,64494,9.882,10.079,46,0,86
32,0.000,63600,63600,63600,10.354,8.189,52,0,86
33,0.000,63685,63685,63685,10.512,10.079,56,0,86
34,0.000,63066,63066,63066,9.488,10.000,60,0,86
35,0.000,65359,65359,65359,9.449,10.433,62,0,86
36,0.000,65030,65030,65030,10.591,6.890,63,0,86
37,0.000,64741,64741,64741,10.512,7.953,64,0,86
38,0.000,64271,64271,64271,7.835,9.016,75,0,86
39,0.000,62873,62873,62873,11.181,7.913,82,0,86
40,0.000,58786,58786,58786,11.063,8.268,83,0,86
41,0.000,24427,24427,24427,9.685,8.570,100,0,86
42,0.000,20926,20926,20926,11.470,6.299,100,0,86
43,0.000,39234,39234,39234,6.824,8.609,96,0,86
44,0.000,36552,36552,36552,9.764,9.633,77,0,86
45,0.000,45693,45693,45693,10.446,10.656,84,0,86
46,0.000,64824,64824,64824,10.092,9.265,66,0,86
47,0.000,65535,65535,65535,8.878,9.469,55,0,86
48,0.000,65152,65152,65152,9.055,10.059,20,0,86
49,0.000,45348,45348,45348,8.228,9.449,9,0,86
50,0.000,64061,64061,64061,8.701,10.295,64,0,86
51,0.000,65118,65118,65118,9.705,9.567,65,0,86
52,0.000,38706,38706,38706,6.043,10.512,71,0,86
53,0.000,54978,54978,54978,8.911,8.530,70,0,86
54,0.000,54903,54903,54903,9.554,8.058,73,0,86
55,0.000,37796,37796,37796,9.304,8.635,73,0,86
56,0.000,60167,60167,60167,10.551,6.102,60,0,86
57,0.000,54291,54291,54291,10.630,6.378,79,0,86
58,0.000,64134,64134,64134,8.648,10.367,30,0,86
59,0.000,54880,54880,54880,8.333,10.774,35,0,86
60,0.000,63886,63886,63886,7.113,10.276,47,0,86
61,0.000,31617,31617,31617,10.118,7.887,36,0,86
62,0.000,27202,27202,27202,10.197,8.163,36,0,86
63,0.000,23467,23467,23467,10.289,7.848,39,0,86
64,0.000,58686,58686,58686,10.381,6.798,41,0,86
65,0.000,46804,46804,46804,8.031,5.748,41,0,86
66,0.000,64484,64484,64484,10.459,3.543,10,0,86
67,0.000,64324,64324,64324,10.394,4.554,18,0,86
68,0.000,64976,64976,64976,9.541,6.562,26,0,86
69,0.000,58701,58701,58701,10.787,6.483,28,0,86
70,0.000,65232,65232,65232,9.672,3.097,1,0,86
71,0.000,33555,33555,33555,8.084,4.751,1,0,86
72,0.000,55222,55222,55222,11.260,5.131,1,0,86
73,0.000,59494,59494,59494,10.827,4.423,13,0,86
74,0.000,57625,57625,57625,10.682,4.055,16,0,86
75,0.000,46038,46038,46038,11.772,5.538,18,0,86
76,0.000,63543,63543,63543,9.042,10.735,1,0,86
77,0.000,61250,61250,61250,8.648,9.803,1,0,86
78,0.000,44429,44429,44429,10.079,10.079,7,0,86
79,0.000,47092,47092,47092,13.268,6.969,1,0,86
80,0.000,45145,45145,45145,13.150,7.008,1,0,86
81,0.000,48860,48860,48860,12.887,7.323,1,0,86
82,0.000,54182,54182,54182,12.822,6.719,1,0,86
83,0.000,48767,48767,48767,9.501,5.709,15,0,86
84,0.000,30195,30195,30195,7.467,9.948,1,0,86
85,0.000,65282,65282,65282,9.501,10.433,8,0,86
86,0.000,64482,64482,64482,10.919,9.252,33,0,86
