 ,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0.000,16099,16099,16099,3.917,13.701,5,0,19
2,0.000,9529,9529,9529,15.945,12.992,23,0,19
3,0.000,52703,52703,52703,11.850,7.402,39,0,19
4,0.000,16592,16592,16592,14.582,11.215,46,0,19
5,0.000,63407,63407,63407,14.953,9.942,53,0,19
6,0.000,46182,46182,46182,11.692,6.761,61,0,19
7,0.000,29932,29932,29932,11.824,3.712,68,0,19
8,0.000,47213,47213,47213,13.548,10.896,69,0,19
9,0.000,36615,36615,36615,15.138,12.301,76,0,19
10,0.000,63805,63805,63805,8.802,6.098,86,0,19
11,0.000,43125,43125,43125,13.945,12.991,85,0,19
12,0.000,44529,44529,44529,11.692,9.412,89,0,19
13,0.000,29549,29549,29549,10.764,7.980,85,0,19
14,0.000,63789,63789,63789,9.385,3.685,93,0,19
15,0.000,62919,62919,62919,10.446,10.684,100,0,19
16,0.000,35090,35090,35090,12.646,10.923,100,0,19
17,0.000,62921,62921,62921,11.824,8.616,100,0,19
18,0.000,33263,33263,33263,12.195,7.556,100,0,19
19,0.000,38601,38601,38601,10.207,6.654,100,0,19
