,z,y,x
0,4,348.006096012,99.491998984
1,22,329.997459995,405.003810008
2,38,188.011176022,300.990601981
3,45,284.861569723,370.383540767
4,52,252.527305055,379.806959614
5,60,171.729743459,296.977393955
6,67,94.28498857,300.33020066
7,68,276.758953518,344.11988824
8,75,312.446024892,384.505969012
9,85,154.889509779,223.571247142
10,84,329.972059944,354.203708407
11,88,239.065278131,296.977393955
12,84,202.692405385,273.406146812
13,92,93.5991871984,238.379476759
14,99,271.374142748,265.328930658
15,99,277.44475489,321.209042418
16,99,218.846837694,300.33020066
17,99,191.922783846,309.753619507
18,99,169.011938024,259.258318517
