,z,y,x
0,1,251.333502667,202.997205994
1,4,251.333502667,214.325628651
2,10,246.99009398,220.675641351
3,16,259.99491999,230.327660655
4,17,264.668529337,181.991363983
5,19,278.994157988,202.997205994
6,22,296.672593345,202.997205994
7,21,284.658369317,202.336804674
8,2,274.345948692,173.990347981
9,2,300.660401321,176.327152654
10,2,311.988823978,102.667005334
11,2,279.324358649,124.663449327
12,3,325.323850648,109.321818644
13,11,291.668783338,189.992379985
14,10,302.336804674,192.659385319
15,25,302.667005334,203.327406655
16,27,313.995427991,196.012192024
17,27,299.339598679,173.66014732
18,93,300.660401321,201.676403353
19,35,291.668783338,203.327406655
20,29,268.326136652,199.66979934
21,23,258.343916688,184.328168656
22,43,290.322580645,180.01016002
23,43,261.341122682,127.990855982
24,51,277.673355347,137.007874016
25,58,287.325374651,202.997205994
26,61,280.670561341,201.346202692
27,78,270.332740665,200.0
28,72,265.659131318,196.342392685
29,79,271.323342647,196.012192024
30,82,284.658369317,203.987807976
31,84,272.999745999,205.664211328
32,83,256.667513335,210.337820676
33,86,286.66497333,221.666243332
34,92,291.998983998,198.679197358
35,92,294.996189992,190.322580645
36,93,256.007112014,162.992125984
37,94,287.325374651,128.676657353
38,96,318.669037338,200.0
39,93,280.670561341,204.343408687
40,94,278.994157988,209.677419355
41,91,271.323342647,196.672593345
42,94,258.343916688,203.657607315
43,89,283.337566675,198.323596647
44,72,258.674117348,213.66522733
45,79,283.997967996,211.988823978
46,74,321.996443993,190.678181356
47,71,323.012446025,194.335788672
48,65,281.000762002,209.321818644
49,58,264.008128016,197.993395987
50,55,249.326898654,193.675387351
51,57,279.654559309,181.991363983
52,62,275.996951994,255.321310643
53,67,270.662941326,261.010922022
54,64,243.992887986,191.668783338
55,62,240.995681991,183.007366015
56,62,256.667513335,208.001016002
57,62,261.341122682,205.003810008
58,64,255.676911354,222.326644653
59,69,253.00990602,174.676149352
60,68,252.679705359,184.988569977
61,69,253.670307341,168.656337313
62,55,256.667513335,183.997967996
63,55,237.668275337,157.658115316
64,55,234.010668021,190.322580645
65,51,262.001524003,153.670307341
66,54,289.001778004,167.665735331
67,56,326.009652019,228.346456693
68,48,273.32994666,179.654559309
69,48,295.326390653,190.678181356
70,52,287.655575311,188.671577343
71,65,241.656083312,150.673101346
72,42,259.664719329,203.987807976
73,45,270.332740665,200.33020066
74,44,246.99009398,249.657099314
75,41,316.992633985,130.657861316
76,36,279.654559309,199.009398019
77,35,302.997205994,172.669545339
78,34,284.658369317,112.344424689
79,1,248.006096012,177.343154686
80,7,279.654559309,148.996697993
81,10,257.988315977,109.677419355
82,9,216.662433325,108.991617983
83,35,311.988823978,197.663195326
84,24,250.012700025,220.345440691
85,14,267.995935992,129.006858014
86,17,283.997967996,119.98983998
87,14,243.662687325,113.00482601
88,8,212.344424689,155.321310643
89,10,214.655829312,157.327914656
90,15,226.009652019,177.673355347
91,26,259.004318009,206.65481331
92,36,210.998221996,196.012192024
93,27,230.988061976,185.344170688
94,28,245.339090678,190.322580645
95,34,251.993903988,210.007620015
96,37,264.338328677,206.324612649
97,53,279.654559309,200.660401321
98,18,270.332740665,203.657607315
99,37,280.670561341,142.341884684
100,91,283.007366015,278.663957328
101,91,245.999491999,302.006604013
102,87,263.322326645,305.994411989
103,83,239.67487935,302.997205994
104,85,254.330708661,285.344170688
